payment_id,tenant_id,due_date,payment_date,amount_due,amount_paid,late_fee,payment_status,payment_method,days_late,month_year
PAY000001,TEN0001,2023-01-01,2023-01-02,1883,1883.0,0.0,On Time,ACH,0,2023-01
PAY000002,TEN0001,2023-01-31,2023-02-01,1883,1883.0,0.0,On Time,Credit Card,0,2023-01
PAY000003,TEN0001,2023-03-02,2023-03-02,1883,1883.0,0.0,On Time,Check,0,2023-03
PAY000004,TEN0001,2023-04-01,2023-04-01,1883,1883.0,0.0,On Time,Credit Card,0,2023-04
PAY000005,TEN0001,2023-05-01,2023-05-02,1883,1883.0,0.0,On Time,Check,0,2023-05
PAY000006,TEN0001,2023-05-31,2023-05-31,1883,1883.0,0.0,On Time,Credit Card,0,2023-05
PAY000007,TEN0001,2023-06-30,2023-07-02,1883,1883.0,0.0,On Time,Credit Card,0,2023-06
PAY000008,TEN0001,2023-07-30,2023-07-31,1883,1883.0,0.0,On Time,Online Portal,0,2023-07
PAY000009,TEN0001,2023-08-29,2023-08-31,1883,1883.0,0.0,On Time,Credit Card,0,2023-08
PAY000010,TEN0001,2023-09-28,2023-09-29,1883,1883.0,0.0,On Time,Credit Card,0,2023-09
PAY000011,TEN0001,2023-10-28,2023-10-30,1883,1883.0,0.0,On Time,Check,0,2023-10
PAY000012,TEN0001,2023-11-27,2023-11-29,1883,1883.0,0.0,On Time,Check,0,2023-11
PAY000013,TEN0001,2023-12-27,2023-12-29,1883,1883.0,0.0,On Time,Credit Card,0,2023-12
PAY000014,TEN0001,2024-01-26,2024-01-28,1883,1883.0,0.0,On Time,Online Portal,0,2024-01
PAY000015,TEN0001,2024-02-25,2024-02-25,1883,1883.0,0.0,On Time,Check,0,2024-02
PAY000016,TEN0001,2024-03-26,2024-03-28,1883,1883.0,0.0,On Time,Check,0,2024-03
PAY000017,TEN0001,2024-04-25,2024-04-25,1883,1883.0,0.0,On Time,Check,0,2024-04
PAY000018,TEN0001,2024-05-25,2024-05-25,1883,1883.0,0.0,On Time,Credit Card,0,2024-05
PAY000019,TEN0001,2024-06-24,2024-06-25,1883,1883.0,0.0,On Time,Credit Card,0,2024-06
PAY000020,TEN0001,2024-07-24,2024-07-26,1883,1883.0,0.0,On Time,ACH,0,2024-07
PAY000021,TEN0001,2024-08-23,2024-08-25,1883,1883.0,0.0,On Time,Check,0,2024-08
PAY000022,TEN0001,2024-09-22,2024-10-21,1883,1977.15,94.15,Late,ACH,29,2024-09
PAY000023,TEN0001,2024-10-22,2024-10-23,1883,1883.0,0.0,On Time,Credit Card,0,2024-10
PAY000024,TEN0001,2024-11-21,2024-11-23,1883,1883.0,0.0,On Time,Credit Card,0,2024-11
PAY000025,TEN0002,2023-01-01,2023-01-07,1479,1552.95,73.95,Late,Check,6,2023-01
